Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"New York","Sage Colleges","-","-","-","-","-","-","-","-","222","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","Sarah Lawrence C.","-","-","-","-","-","-","-","-","-","164","222","311","612","631","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","Siena C.","-","854","1,320","1,625","1,549","1,876","1,961","1,662","1,747","1,104","1,200","625","633","699","-","-","-","-","-","-","-","-","-","-","-","-","238","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","Skidmore C.","2,681","2,346","1,722","1,253","1,691","1,747","1,870","1,885","2,154","2,965","1,485","829","785","857","1,302","926","766","640","313","402","309","201","232","262","294","327","361","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","St. Bonaventure U.","-","-","-","690","-","-","-","986","1,973","1,797","1,580","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","11","7","4","-","-","14","11","9","10","-","12","38","54","161","104",
"New York","St. John's U., New York","2,094","2,636","2,355","2,178","2,441","2,418","2,360","2,161","1,820","1,709","1,790","1,866","2,078","9,481","9,578","1,853","1,747","1,620","1,484","1,516","2,117","2,088","2,977","2,600","1,486","1,567","1,248","1,588","901","1,192","1,030","1,378","1,348","1,304","1,252","692","503","912","653","504","371","20,285","19,849","79","84","113","112",
"New York","St. Lawrence U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20",
"New York","SUNY system office","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14,332","13,859","14,252",
"New York","SUNY, Binghamton U.","92,850","103,379","90,867","80,419","76,244","68,848","74,694","81,000","73,930","74,973","75,694","66,776","40,419","33,271","29,649","30,315","40,167","26,333","23,803","23,901","23,567","27,568","25,938","25,279","23,802","22,450","19,965","19,076","14,995","16,774","15,104","15,114","14,972","14,949","13,012","11,554","12,616","11,471","11,307","10,655","8,184","8,106","6,664","6,783","5,736","4,353","3,216",
"New York","SUNY, Buffalo State","1,891","1,751","1,748","2,097","2,258","1,925","2,070","2,970","2,588","2,013","2,516","1,724","1,425","1,886","2,261","3,350","3,313","2,429","1,945","2,156","2,212","1,537","3,288","3,512","2,232","2,074","2,171","2,124","1,884","1,307","1,406","1,512","1,618","1,712","1,801","1,915","2,043","2,184","2,384","2,680","3,000","-","2,766","2,995","2,968","2,621","2,665",
"New York","SUNY, C. Brockport","1,237","1,174","1,194","1,260","1,305","1,150","1,298","1,487","1,272","865","685","749","1,108","932","754","891","917","912","905","925","885","809","794","727","640","651","541","603","1,440","1,308","582","371","359","350","339","331","323","315","281","286","281","-","4,033","4,293","5,156","7,651","7,920",
"New York","SUNY, C. Cortland","-","-","-","-","-","-","805","-","987","548","360","377","519","1,040","1,134","836","835","436","474","464","107","73","480","510","340","419","251","175","146","399","274","256","223","187","148","110","69","175","132","341","353","-","117","210","566","692","1,229",
"New York","SUNY, C. of Environmental Science and Forestry","25,939","24,162","25,867","23,131","21,043","18,352","20,873","23,132","25,504","28,005","21,592","27,957","25,792","19,934","13,789","22,905","32,442","32,494","34,909","34,150","33,239","29,271","27,590","30,019","30,478","31,025","31,712","27,414","28,939","29,324","28,059","21,872","20,492","20,207","19,805","18,120","16,380","14,534","12,792","13,481","15,471","16,290","8,945","8,609","8,382","8,647","11,204",
"New York","SUNY, C. of Optometry","2,642","2,833","3,061","3,935","3,728","3,357","3,574","3,466","3,810","3,672","2,810","2,374","2,412","2,124","2,838","2,872","3,860","2,159","1,798","1,282","1,486","887","670","876","747","966","547","489","351","759","805","635","908","805","698","594","484","562","421","882","1,310","134","-","-","-","-","-",
"New York","SUNY, C. Old Westbury","-","-","-","-","-","-","-","1,237","1,291","1,255","1,166","1,875","1,838","2,041","1,844","1,564","1,638","1,498","1,642","1,678","905","1,032","1,331","875","849","717","638","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, C. Plattsburgh","1,539","1,456","929","963","1,083","972","-","913","1,119","1,731","1,547","525","3,111","6,291","6,582","5,839","5,588","1,309","1,401","1,276","1,038","1,505","1,277","1,649","2,115","1,574","1,228","1,518","1,849","1,970","1,678","1,971","1,616","1,931","625","346","-","-","-","-","-","-","2,093","1,934","513","728","299",
"New York","SUNY, Cobleskill","-","-","-","-","-","-","892","-","956","1,471","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, Downstate Medical Center","32,062","31,473","29,526","31,845","27,343","32,148","38,675","43,257","42,798","33,828","30,719","34,257","32,231","34,490","34,010","35,630","37,162","38,436","39,637","40,506","37,763","36,551","39,931","41,340","42,830","39,455","40,112","35,902","49,866","35,924","33,439","31,112","29,814","27,945","25,851","23,927","25,603","25,462","29,246","25,546","26,714","28,449","31,073","31,660","29,767","27,583","22,216",
"New York","SUNY, Farmingdale State C.","-","-","-","1,109","1,052","1,508","3,158","1,629","1,166","263","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, Fashion Institute of Technology","-","-","-","-","-","-","-","-","227","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, Fredonia","-","-","-","-","-","-","-","-","350","534","293","377","346","341","268","297","375","290","281","248","120","157","207","279","532","453","393","420","82","204","336","477","486","489","489","495","503","580","1,020","785","431","-","5,382","4,363","3,461","2,039","2,402",
"New York","SUNY, Geneseo","1,904","1,761","1,629","1,652","1,254","1,046","1,180","2,132","2,728","1,429","2,414","2,539","1,982","1,311","1,365","1,178","1,881","841","807","879","711","631","619","890","440","736","499","486","325","496","306","369","314","255","192","129","61","49","41","33","134","-","120","111","687","220","303",
"New York","SUNY, Institute of Technology, Utica/Rome","-","-","-","-","-","-","1,106","-","827","742","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, Maritime C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","116",
"New York","SUNY, Morrisville","-","-","-","-","-","-","-","-","237","242","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, New Paltz","-","-","-","-","-","-","-","-","183","261","220","205","-","-","-","-","-","-","-","-","-","-","153","246","164","80","126","195","390","608","174","61","386","356","326","299","270","745","1,279","1,935","2,693","-","2,484","48","121","66","188",
"New York","SUNY, Oneonta","-","-","-","-","-","-","-","-","259","350","359","217","-","-","-","-","-","-","-","-","-","-","197","184","200","183","183","180","184","163","125","113","135","154","174","197","221","212","138","182","201","-","182","251","201","154","196",
"New York","SUNY, Oswego","1,586","1,800","1,536","-","-","-","712","-","996","815","1,074","1,088","1,182","1,148","1,155","2,424","1,466","1,372","981","953","710","951","1,079","1,257","1,469","1,693","1,452","1,176","532","251","761","577","585","758","935","533","411","285","151","166","196","-","873","1,750","2,184","2,661","2,522",
"New York","SUNY, Polytechnic Institute","314,158","233,686","286,120","298,939","281,818","398,198","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, Potsdam","-","-","-","-","-","-","-","-","456","532","342","-","-","-","-","-","-","-","-","-","-","-","54","57","93","71","144","154","213","143","236","191","252","305","359","420","486","558","648","76","70","-","-","-","94","81","447",
"New York","SUNY, Purchase C.","-","-","-","-","-","168","1,408","-","580","-","-","-","-","-","-","389","395","350","264","178","246","219","324","268","314","362","299","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, Stony Brook U.","232,188","222,479","221,043","217,701","210,500","204,120","221,819","219,744","215,410","213,013","199,255","202,273","290,358","262,135","243,304","258,890","243,670","227,071","211,164","209,161","195,078","188,311","183,521","172,686","170,608","160,888","156,437","146,910","137,928","129,158","129,459","134,460","96,150","97,355","87,033","79,111","72,354","74,225","69,623","61,938","60,614","60,292","43,250","41,136","33,502","32,617","34,074",
"New York","SUNY, U. Albany","161,607","157,115","144,871","113,496","106,600","126,307","135,383","137,758","151,476","373,907","359,591","287,627","334,577","308,486","302,653","245,527","151,411","83,271","87,880","106,039","84,166","67,170","77,123","90,522","53,948","61,588","54,933","53,259","31,265","34,606","39,495","33,230","32,982","29,519","23,851","21,591","20,452","17,911","19,746","15,875","15,625","14,458","12,306","12,384","13,404","12,801","14,707",
"New York","SUNY, U. Albany, C. of Nanoscale Science and Engineering","-","-","-","-","-","-","367,720","265,473","253,549","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","SUNY, U. Buffalo","368,399","372,487","372,022","367,745","365,435","372,842","381,173","360,226","359,946","363,820","367,800","360,160","349,692","338,371","314,953","316,721","302,780","280,017","234,152","240,393","218,439","201,440","182,230","188,160","200,047","200,439","186,016","190,760","172,340","171,491","163,408","148,387","123,539","115,690","104,533","99,646","98,185","56,583","60,574","55,442","56,796","56,798","54,205","45,321","48,213","53,622","52,140",
"New York","SUNY, Upstate Medical U.","33,910","33,301","32,933","30,105","30,970","32,272","33,695","35,897","40,755","45,597","34,940","38,563","42,924","41,282","39,957","37,851","31,410","27,545","21,674","21,895","19,771","18,715","20,033","19,257","18,335","16,694","18,069","19,298","22,126","22,618","50,713","41,554","37,138","32,450","33,536","34,710","30,860","29,464","13,712","15,010","15,153","19,857","18,644","41,948","38,832","33,913","37,848",
"New York","Syracuse U.","137,424","134,161","134,977","79,909","66,702","63,967","69,743","85,649","85,291","111,355","84,155","65,862","63,082","59,716","55,167","61,354","43,639","28,708","23,861","51,312","51,905","49,576","46,533","46,899","47,225","54,907","47,073","47,746","46,497","53,103","57,912","56,966","53,199","49,020","44,602","31,871","34,404","39,571","38,766","39,072","33,786","35,857","20,441","20,514","22,745","22,352","47,831",
"New York","Teachers C., Columbia U.","22,136","22,226","22,413","22,773","22,206","19,809","19,310","20,805","18,759","17,862","19,367","18,141","15,744","14,559","15,209","15,251","16,253","12,842","12,127","10,965","9,436","8,999","1,855","1,373","1,024","665","115","596","652","1,261","947","1,524","1,341","1,157","962","768","562","692","605","764","831","1,084","1,794","1,743","2,057","1,885","1,580",
"New York","Touro C.","-","-","-","-","-","-","-","889","1,271","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","U. Rochester","350,722","336,553","327,012","326,772","331,078","340,875","382,640","389,612","437,263","431,435","419,129","401,305","407,646","410,240","398,393","371,644","349,427","322,758","293,598","252,744","231,930","231,947","208,622","198,016","220,600","237,934","234,779","207,937","200,196","202,622","202,034","193,133","178,098","172,130","158,784","139,835","127,909","133,411","142,954","155,762","154,931","151,679","158,843","147,934","130,150","142,218","153,599",
"New York","U.S. Military Academy","9,584","12,333","12,614","12,744","14,612","14,293","11,429","12,227","14,064","23,068","10,066","11,188","9,219","8,574","8,342","8,096","7,795","7,410","6,990","6,593","6,179","5,698","5,186","4,690","4,179","3,657","3,112","2,549","1,955","1,348","699","-","72","138","207","282","362","450","555","693","849","-","783","772","998","791","722",
"New York","Union C., Schenectady","1,549","1,398","1,101","2,030","1,489","1,856","2,361","1,516","1,646","2,064","1,963","2,712","2,255","2,212","2,941","4,798","2,527","2,857","1,310","1,283","1,366","922","923","1,388","1,375","1,497","1,497","2,102","1,905","1,724","1,535","1,331","1,104","851","583","624","450","1,181","1,042","1,244","1,135","1,662","1,782","851","791","1,457","1,305",
"New York","Union Graduate C.","-","-","-","-","-","-","-","-","195","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","Utica C.","-","-","-","-","-","-","-","-","160","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"New York","Vassar C.","898","3,800","1,482","1,411","2,724","1,177","1,665","1,258","1,873","1,332","1,221","1,194","676","1,064","1,222","1,451","1,686","1,917","2,151","2,198","1,514","792","801","814","829","847","865","924","978","1,046","1,121","1,202","1,043","1,153","1,263","919","887","885","903","771","557","-","395","210","251","253","156",
"New York","Webb Institute","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","87","74","92","81","104","175","243","317","398","484","494","505","513","527","545","564","596","651","591","-","502","854","935","761","571",
"New York","Yeshiva U.","2,154","2,998","3,018","43,546","292,182","295,936","266,489","289,027","286,730","326,957","203,161","209,272","207,814","210,308","220,891","216,152","214,683","193,856","185,776","178,821","146,354","131,504","130,053","124,934","131,825","131,949","130,058","129,516","131,747","131,878","121,380","127,642","129,322","126,209","122,145","111,333","105,398","106,316","98,115","100,930","90,515","89,842","81,337","95,789","95,488","90,035","99,412",
"North Carolina","Total for selected values","3,016,476","2,909,561","2,854,674","2,773,099","2,686,285","2,715,032","2,692,663","2,681,840","2,720,029","2,565,024","2,315,037","2,134,491","2,073,732","1,925,424","1,935,024","1,759,471","1,727,989","1,578,468","1,427,625","1,333,225","1,326,252","1,194,833","1,105,566","1,040,314","1,002,819","979,448","916,282","848,205","786,029","715,352","702,252","636,748","562,115","520,577","478,574","406,180","365,157","343,064","342,502","316,109","316,413","284,531","297,123","293,195","298,800","278,491","312,257",
"North Carolina","Appalachian State U.","2,909","3,297","4,146","2,970","3,701","4,137","2,998","4,438","3,909","3,015","3,300","4,084","3,632","2,689","1,672","1,043","1,835","964","942","889","813","741","686","698","764","702","519","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Bennett C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","253","510","780","1,062","1,077","125","127","156","159","178","1,358","97","667","593","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Davidson C.","1,582","1,487","1,608","1,436","2,268","1,740","2,297","1,400","2,015","1,553","2,124","1,423","1,043","622","337","347","355","360","365","371","378","383","386","391","397","403","412","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Duke U.","1,091,903","1,060,213","1,043,949","996,632","989,322","1,000,013","975,697","1,009,911","1,041,812","1,023,081","850,128","816,564","847,460","731,444","723,351","615,706","630,828","544,754","470,152","456,760","456,032","375,102","337,877","330,999","304,315","312,851","293,722","280,252","249,502","220,993","213,591","192,976","156,989","141,605","126,256","115,363","107,804","101,065","100,291","92,414","95,395","93,549","90,745","90,464","89,756","77,636","88,819",
"North Carolina","East Carolina U.","49,508","35,480","24,194","23,857","25,336","28,863","37,611","31,990","28,653","24,966","26,233","17,903","17,702","16,143","16,659","16,290","15,687","14,204","13,203","10,837","11,803","10,154","8,865","9,315","10,814","11,713","10,679","9,012","9,296","9,577","8,539","7,923","6,610","6,930","5,672","4,410","3,935","4,010","3,393","2,569","2,559","1,939","1,821","1,727","1,809","2,109","2,649",
"North Carolina","Elizabeth City State U.","-","888","1,241","1,783","2,173","2,882","4,437","4,455","10,656","5,802","3,601","3,163","2,059","796","1,083","1,262","1,336","1,305","1,564","1,995","1,362","909","1,852","1,500","1,055","594","1,523","507","-","24","42","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Elon U.","2,266","2,257","2,230","2,460","2,489","2,106","2,008","1,658","1,552","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Fayetteville State U.","4,180","4,522","4,729","14,844","13,118","14,209","16,410","15,719","14,898","12,345","11,095","9,171","8,784","702","9,733","11,307","8,486","384","738","649","347","644","187","687","654","621","396","278","418","242","587","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Johnson C. Smith U.","1,912","2,241","2,089","1,977","-","-","-","-","-","-","-","-","-","279","190","-","-","-","244","368","11,338","5,710","2,077","1,786","1,819","2,959","547","410","722","749","782","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","North Carolina Agricultural and Technical State U.","33,241","34,632","34,627","31,868","33,565","33,803","33,408","35,103","35,600","36,725","30,120","30,796","26,099","26,589","26,302","23,052","20,983","18,942","19,588","17,163","19,302","19,680","21,246","21,851","21,949","19,373","17,542","17,696","15,841","13,596","10,926","10,838","7,820","10,336","9,049","8,864","9,294","5,673","7,901","11,755","12,290","-","4,395","4,776","6,131","5,195","6,456",
"North Carolina","North Carolina Central U.","14,446","13,568","13,079","11,765","11,879","11,128","8,824","11,076","9,678","7,148","5,662","6,706","4,689","7,325","6,599","5,833","4,992","4,068","3,099","2,112","1,080","1,154","1,167","1,164","1,162","581","486","1,121","725","313","904","967","903","833","757","684","609","529","452","374","364","-","538","486","586","538","315",
"North Carolina","North Carolina State U.","481,712","462,945","463,597","462,472","446,893","430,278","410,268","404,225","385,407","375,396","403,346","389,695","360,083","367,437","346,138","345,271","346,457","357,818","375,059","355,989","354,353","337,731","307,998","260,646","250,728","246,347","225,803","212,416","216,647","205,954","201,128","186,741","179,937","166,509","161,250","143,340","117,340","113,534","108,667","101,070","103,172","91,920","90,082","83,500","85,692","87,414","99,173",
"North Carolina","Shaw U.","-","-","-","485","940","1,403","-","1,947","2,235","3,138","4,039","4,294","3,927","4,147","4,300","3,884","3,979","1,078","610","128","131","146","197","157","78","80","77","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","St. Andrews Presbyterian C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33","243",
"North Carolina","U. North Carolina, Asheville","4,097","3,100","2,652","3,160","2,275","2,074","2,601","3,068","3,218","2,779","3,151","4,430","5,899","3,701","4,132","2,367","1,497","1,520","1,590","1,103","972","938","901","869","836","804","770","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","U. North Carolina, Chapel Hill","1,027,143","1,031,653","1,020,919","986,777","922,600","954,636","956,225","884,791","885,844","785,849","685,562","562,675","523,494","497,978","512,447","496,313","477,712","457,493","380,470","344,624","330,975","312,548","297,370","284,942","290,978","286,430","259,948","239,956","216,761","193,358","198,938","181,243","164,348","153,502","139,191","102,008","99,679","97,109","106,130","92,078","86,409","81,778","94,510","95,719","100,962","92,908","98,327",
"North Carolina","U. North Carolina, Charlotte","42,008","36,219","24,175","26,257","23,733","22,514","24,337","25,141","28,061","33,101","30,811","26,723","29,165","25,155","23,229","22,676","16,616","10,824","9,907","9,977","11,838","8,859","8,516","8,218","7,915","7,617","7,307","7,017","4,892","4,950","3,281","3,530","3,278","2,975","2,642","2,321","1,986","1,628","1,266","880","887","-","631","972","700","571","140",
"North Carolina","U. North Carolina, general administration","3,698","4,398","3,447","3,905","4,005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","U. North Carolina, Greensboro","23,436","20,651","21,521","22,622","21,974","19,987","16,304","19,080","26,622","23,344","20,853","17,448","14,677","15,238","18,321","19,910","19,591","5,495","4,864","3,033","3,101","3,479","2,528","2,771","3,391","3,280","3,424","3,161","3,022","1,812","1,341","770","868","693","1,107","962","921","879","851","842","776","441","383","1,607","549","765","3,148",
"North Carolina","U. North Carolina, Pembroke","-","-","-","-","-","-","-","-","1,017","425","197","253","356","286","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","U. North Carolina, Wilmington","15,593","15,395","14,836","14,835","14,853","14,128","17,832","19,722","23,026","24,080","19,249","21,558","19,033","15,780","24,515","17,530","16,415","17,974","12,918","10,066","10,013","9,575","9,275","9,024","8,770","8,527","8,272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Wake Forest U.","212,709","173,768","168,810","160,482","164,069","170,120","179,569","204,328","213,145","199,805","212,309","212,920","201,300","204,120","212,385","157,765","157,957","137,732","123,253","111,223","108,454","102,139","101,134","102,935","95,159","74,698","83,642","74,147","67,170","62,280","60,540","51,759","41,363","37,193","32,651","28,226","23,590","18,638","13,550","14,127","14,560","14,905","14,019","13,944","12,614","11,323","12,987",
"North Carolina","Western Carolina U.","2,344","1,368","1,365","1,232","1,093","1,011","1,010","1,811","1,479","2,472","3,257","4,238","3,431","3,612","1,734","10,787","813","806","956","743","656","587","446","312","317","374","266","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Carolina","Winston-Salem State U.","1,790","1,479","1,459","1,280","-","-","826","1,977","1,202","-","-","442","899","1,382","1,898","8,126","2,449","2,495","7,591","4,415","2,242","3,278","2,732","1,921","1,563","1,335","768","866","937","836","1,059","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Dakota","Total for selected values","234,328","232,030","237,097","213,879","207,967","214,151","215,336","215,642","215,105","212,306","196,788","192,753","184,740","178,812","172,107","179,614","163,775","130,877","105,996","86,333","80,784","75,641","75,351","98,177","82,954","79,142","78,605","78,324","74,335","47,064","45,542","41,390","62,953","57,195","54,331","51,909","49,493","53,800","46,985","42,493","39,783","39,301","40,440","40,615","33,874","27,477","26,736",
"North Dakota","Dickinson State U.","-","-","-","-","-","-","-","-","295","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Dakota","Mayville State U.","-","-","-","-","-","-","-","-","463","286","236","238","242","270","212","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Dakota","Minot State U.","-","-","-","-","-","-","-","-","601","827","646","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","51","152",
"North Dakota","North Dakota State U.","135,657","132,270","141,845","147,541","146,525","148,956","147,583","135,493","136,635","131,535","120,269","123,379","116,057","116,032","118,105","120,798","112,653","88,962","81,316","64,120","58,525","53,142","47,279","59,660","56,600","52,531","50,741","51,194","48,516","19,582","16,999","14,626","34,197","31,502","31,971","32,814","33,824","36,842","32,603","30,715","27,836","27,801","28,780","28,281","22,969","20,507","20,999",
"North Dakota","Sitting Bull C.","-","-","-","-","-","-","-","-","604","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"North Dakota","U. North Dakota","98,671","99,759","95,252","66,338","61,442","65,196","67,753","80,149","76,318","79,658","75,637","69,137","68,440","62,511","53,791","58,816","51,122","41,915","24,680","22,213","22,259","22,499","28,073","38,517","26,354","26,611","27,864","27,130","25,819","27,482","28,543","26,763","28,756","25,693","22,360","19,095","15,669","16,959","14,382","11,778","11,947","11,500","11,660","12,334","10,905","6,919","5,586",
"North Dakota","Valley City State U.","-","-","-","-","-","-","-","-","189","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Total for selected values","2,225,110","2,152,318","2,129,830","2,070,163","2,054,416","2,081,951","2,130,870","2,128,968","2,264,441","2,134,892","2,050,936","1,995,479","1,961,990","1,870,104","1,828,076","1,623,440","1,626,903","1,377,040","1,248,367","1,176,070","1,088,494","1,076,238","1,033,194","955,304","899,573","889,719","866,501","826,458","769,857","726,325","699,387","648,568","579,662","518,995","481,506","439,861","414,262","414,967","437,034","433,958","418,125","382,370","362,450","344,197","314,798","300,737","307,845",
"Ohio","Air Force Institute of Technology","30,283","30,292","33,102","28,317","25,638","23,054","27,116","32,746","32,490","32,524","28,902","21,771","18,568","21,533","17,263","15,695","15,085","11,404","10,416","9,953","5,651","5,632","10,234","8,031","8,293","10,025","4,718","5,664","3,408","3,455","2,933","2,371","799","665","522","276","255","163","156","154","129","134","135","159","168","92","199",
"Ohio","Antioch U. all campuses","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","113","182","190","137","-","-","-","-","2","4","5","8","10","8","6","5","3","-","3","4,722","4,188","4,975","7,218",
"Ohio","Ashland U.","-","-","-","-","-","-","-","-","536","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Baldwin Wallace U.","-","-","-","-","-","-","-","-","367","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Ohio","Bowling Green State U.","15,157","16,336","13,278","13,650","7,630","8,546","12,930","8,566","9,172","8,453","9,012","12,080","10,452","13,312","12,059","9,811","8,886","6,572","6,302","4,424","4,523","4,506","4,758","5,387","5,148","5,504","4,977","5,095","5,665","5,340","5,463","5,320","4,275","3,625","3,231","2,991","3,363","3,169","3,140","3,437","3,487","3,506","4,012","3,569","5,116","3,994","3,383",
"Ohio","C. Wooster","1,565","1,357","1,523","-","1,188","1,274","-","966","1,248","1,028","987","750","1,132","1,073","652","331","500","447","358","760","496","429","294","400","388","313","264","253","242","232","223","213","226","235","244","255","268","267","270","282","297","-","203","225","318","198","231",
"Ohio","Case Western Reserve U.","390,813","394,481","378,523","382,930","383,178","404,139","418,444","431,090","437,438","435,086","439,996","445,928","410,166","416,044","371,196","277,274","310,415","270,249","248,469","247,265","238,747","234,223","217,372","195,995","196,319","189,330","180,921","175,852","158,299","146,667","140,397","130,893","124,198","103,342","94,552","89,260","83,616","87,783","92,476","96,251","91,655","80,800","82,171","81,614","72,690","67,338","71,671",
"Ohio","Central State U.","3,353","3,282","1,860","1,551","1,439","1,953","2,723","3,591","3,894","3,364","3,482","2,708","2,508","2,576","1,806","1,618","1,416","1,192","956","717","1,960","1,988","2,399","2,440","2,489","2,544","2,741","2,512","2,491","6,245","1,097","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
